,name,url,Price,год выпуска,Пробег,Кузов,Цвет,Двигатель,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Обмен,VIN,Госномер,Владение,Гарантия,Запас хода,Кузов №
0,Ford Fusion I Рестайлинг,https://auto.ru/cars/used/sale/ford/fusion/1101678655-fe6f6052/,395 000 ₽,2007,56 160 км,хэтчбек 5 дв.,синий,1.4 л / 80 л.с. / Бензин,800 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,WF0**************,,,,,
1,BMW 3 серии  V (E90/E91/E92/E93) Рестайлинг 318i,https://auto.ru/cars/used/sale/bmw/3er/1101787157-4a3cd0c2/,915 000 ₽,2010,100 568 км,седан,чёрный,2.0 л / 136 л.с. / Бензин,4 760 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,X4X**************,******|197,,,,
2,Volvo XC90 I,https://auto.ru/cars/used/sale/volvo/xc90/1102027994-c83f2624/,480 000 ₽,2005,185 000 км,внедорожник 5 дв.,чёрный,2.5 л / 210 л.с. / Бензин,13 650 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,YV1**************,******|76,,,,
3,Land Rover Defender  I Рестайлинг 110,https://auto.ru/cars/used/sale/land_rover/defender/1101378369-d6243f80/,845 000 ₽,2007,151 199 км,внедорожник 5 дв.,белый,2.4 л / 122 л.с. / Дизель,3 050 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,SAL**************,,,,,
4,Rolls-Royce Phantom VII,https://auto.ru/cars/used/sale/rolls_royce/phantom/1101752516-aff0b203/,5 999 999 ₽,2004,87 000 км,седан,серый,6.8 л / 460 л.с. / Бензин,69 000 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,SCA**************,******|76,,,,
5,Infiniti QX50 II,https://auto.ru/cars/used/sale/infiniti/qx50/1102205085-8d43c5ae/,2 450 000 ₽,2018,19 500 км,внедорожник 5 дв.,чёрный,2.0 л / 249 л.с. / Бензин,18 675 ₽ / год,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,3PC**************,******|790,2 года и 1 месяц,До декабря 2022,,
6,Mercedes-Benz GL-Класс  II (X166) 500,https://auto.ru/cars/used/sale/mercedes/gl_klasse/1101715877-a5efc09e/,2 825 000 ₽,2012,86 000 км,внедорожник 5 дв.,чёрный,4.7 л / 435 л.с. / Бензин,65 250 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,WDC**************,******|790,,,,
7,Audi Q7 I (4L),https://auto.ru/cars/used/sale/audi/q7/1101296441-a1cfc6e5/,499 000 ₽,2006,151 381 км,внедорожник 5 дв.,чёрный,4.2 л / 350 л.с. / Бензин,52 500 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,WAU**************,,,,,
8,Citroen DS5,https://auto.ru/cars/used/sale/citroen/ds5/1101948789-4140dfe6/,938 000 ₽,2012,113 400 км,хэтчбек 5 дв.,серебристый,2.0 л / 163 л.с. / Дизель,7 335 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,VF7**************,,,,,
9,Honda Element I,https://auto.ru/cars/used/sale/honda/element/1101146022-0f609e65/,475 000 ₽,2003,197 000 км,внедорожник 5 дв.,синий,2.4 л / 162 л.с. / Бензин,7 290 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,5J6**************,,,,,
10,Mercedes-Benz GLK-Класс  I (X204) Рестайлинг 250,https://auto.ru/cars/used/sale/mercedes/glk_klasse/1102183138-47cdb6e1/,1 685 000 ₽,2015,84 000 км,внедорожник 5 дв.,коричневый,2.0 л / 211 л.с. / Бензин,13 715 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,WDC**************,******|799,,,,
