,name,url,Price,год выпуска,Пробег,Кузов,Цвет,Двигатель,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,VIN,Госномер,Владение,Обмен,Кузов №,Гарантия,Запас хода
0,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1102250724-7aa7e58b/,175 000 ₽,2008,189 000 км,хэтчбек 5 дв.,зелёный,1.6 л / 98 л.с. / Бензин,1 372 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,XTA**************,******|164,,,,,
1,Mazda 6 III (GJ) Рестайлинг,https://auto.ru/cars/used/sale/mazda/6/1102101208-585895a3/,1 349 000 ₽,2015,92 000 км,седан,чёрный,2.5 л / 192 л.с. / Бензин,9 600 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,RUM**************,******|64,5 лет и 3 месяца,Рассмотрю варианты,,,
2,BMW X6  I (E71) 30d,https://auto.ru/cars/used/sale/bmw/x6/1101882212-703d4a57/,1 850 000 ₽,2011,170 000 км,внедорожник 5 дв.,чёрный,3.0 л / 245 л.с. / Дизель,18 375 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X4X**************,******|64,,,,,
3,Renault Duster I,https://auto.ru/cars/used/sale/renault/duster/1101959102-decf3c9c/,664 000 ₽,2012,85 000 км,внедорожник 5 дв.,серебристый,2.0 л / 135 л.с. / Бензин,4 050 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X7L**************,******|164,5 лет и 8 месяцев,,,,
4,Renault Arkana I,https://auto.ru/cars/used/sale/renault/arkana/1102251278-754b9cf2/,1 099 000 ₽,2019,52 000 км,внедорожник 5 дв.,белый,1.6 л / 114 л.с. / Бензин,3 648 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X7L**************,,,Рассмотрю варианты,,,
5,Great Wall Hover H3 I,https://auto.ru/cars/used/sale/great_wall/hoverh3/1102264535-a97eca62/,500 000 ₽,2011,91 725 км,внедорожник 5 дв.,чёрный,2.0 л / 122 л.с. / Бензин,3 660 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z8P**************,,,Рассмотрю варианты,,,
6,Kia Cerato III,https://auto.ru/cars/used/sale/kia/cerato/1102264002-9ed562db/,719 000 ₽,2014,81 000 км,седан,белый,1.6 л / 130 л.с. / Бензин,3 900 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XWE**************,,,Рассмотрю варианты,,,
7,Kia Sportage III,https://auto.ru/cars/used/sale/kia/sportage/1102270506-0b11f81b/,680 000 ₽,2011,196 000 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Бензин,4 500 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XWE**************,,,Рассмотрю варианты,,,
8,Renault Kaptur I,https://auto.ru/cars/used/sale/renault/kaptur/1101496121-dd44b4ab/,1 090 000 ₽,2017,67 000 км,внедорожник 5 дв.,белый,2.0 л / 143 л.с. / Бензин,4 290 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X7L**************,******|58,2 года и 6 месяцев,,,,
9,Land Rover Discovery Sport I Рестайлинг,https://auto.ru/cars/used/sale/land_rover/discovery_sport/1102267061-fe44751b/,2 700 000 ₽,2019,31 791 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Дизель,4 800 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,SAL**************,,,Рассмотрю варианты,,,
