,name,price,release,mileage,color,transmission,drive,wheel,condition,owner,pts,customs,brand,body,number_of_door,engine_displacement,engine_power,fuel_type,sample
0,GLK-Класс  I (X204) Рестайлинг 250,1610000.0,2015.0,110000.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,2.0,211,Бензин,1
1,Camry VII (XV50),1490000.0,2014.0,101500.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Toyota,седан,4,2.5,181,Бензин,1
2,GL-Класс  II (X166) 500,2690000.0,2012.0,226000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,4.7,435,Бензин,1
3,Tahoe IV,3385000.0,2016.0,37000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Chevrolet,внедорожник,5,6.2,409,Бензин,1
4,Arkana I,1400000.0,2019.0,33000.0,белый,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,внедорожник,5,1.3,150,Бензин,1
5,XC90 I Рестайлинг,1449000.0,2013.0,122200.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volvo,внедорожник,5,2.4,200,Дизель,1
6,(ВАЗ) XRAY I,650000.0,2018.0,20000.0,красный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,хэтчбек,5,1.6,106,Бензин,1
7,Q7 II (4M),2900000.0,2015.0,185000.0,серый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Audi,внедорожник,5,3.0,249,Дизель,1
8,Epica I Рестайлинг,260000.0,2010.0,100000.0,чёрный,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,седан,4,2.0,143,Бензин,1
9,Rio  III 5-speed,500000.0,2014.0,92000.0,чёрный,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,седан,4,1.6,123,Бензин,1
10,Lancer X Рестайлинг,584000.0,2014.0,128000.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mitsubishi,седан,4,1.6,117,Бензин,1
11,Gentra II,220000.0,2014.0,199200.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Daewoo,седан,4,1.5,107,Бензин,1
12,Passat B6,529900.0,2010.0,172000.0,серый,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Volkswagen,седан,4,1.8,152,Бензин,1
13,Sonata V (NF),419000.0,2007.0,166000.0,фиолетовый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,седан,4,2.0,144,Бензин,1
14,Lacetti,200000.0,2005.0,280000.0,белый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,седан,4,1.4,94,Бензин,1
16,(ВАЗ) Granta I,335000.0,2017.0,32000.0,серый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,седан,4,1.6,87,Бензин,1
